Employee_ID,SALARY
564845,26.57
101706,37.28
83911,37.45
339777,53.4
583386,35.43
345643,68268.84
701618,27.05
644078,36.07
68808,44.81
478150,36.07
615891,64951.29
470068,35.43
643473,36.07
402155,36.07
624210,84275.26
176118,35.43
905943,41.27
143152,48.55
275594,45.67
484597,36.07
86414,36.07
568461,35.43
997916,37.28
858060,25.25
853083,36.07
176248,36.07
293880,37.28
426255,25.97
890563,48.93
150558,37.5
140499,24.95
593077,53.4
957350,16.21
431434,32.46
655886,36.07
158035,35.43
811063,13.63
62375,28.85
454919,14.4
281090,39.89
895624,43.17
128801,36.07
935294,35.43
498707,30.66
142118,14.4
930417,49390.52
368080,13.5
912193,62642.13
431044,36.07
235906,25.25
742958,67094.68
753430,40.8
142533,39.15
466934,23.45
147889,16.57
129507,41.27
916059,13.5
284034,36.07
213104,36.07
738715,112665.01
725717,35.43
574262,49.35
102111,36.07
367687,35.43
750750,36.07
779938,23.45
119572,37.28
872798,77310.77
543617,19.93
440315,32.46
929592,30.66
545883,36.07
471274,90675.92
681291,35.43
335161,146148.25
704770,33.65
348708,106283.76
980266,39.82
449546,40.09
687105,77310.77
113410,36.07
264321,43.17
238634,37.28
310385,25.25
538618,36.07
546764,22.72
626120,23.45
502801,23.45
839031,36.18
877053,37.28
642203,40.09
822513,88542.38
655186,19.93
863017,210000
186046,46.88
246132,36.07
641153,35.43
679078,35.43
433292,36.07
96825,96835.98
104898,87389.08
734734,36.07
489690,36.18
786447,37.45
673357,36.18
788090,35.43
177984,40.33
688207,44.81
833084,169767.71
863938,35.43
494750,43.17
406294,23.45
108012,36.07
476421,36.07
698277,32.46
756445,36.07
96724,130253.3
461325,46.88
577267,36.07
183687,49.35
957144,44.04
842820,36.07
15067,25.25
665230,23.45
141929,65147.91
346640,23.45
752730,16.57
891816,36.07
538136,41.27
866875,49.46
745612,36.07
530779,36.07
126892,37.73
998409,43.17
782656,16.57
414892,37.28
432623,70856.28
259262,36.07
697149,35.43
595874,36.07
211028,23.48
938404,30.66
797483,27.05
868836,27.05
929306,13.5
204737,36.07
472559,23.45
542522,23.45
888557,36.07
862230,16.57
627483,13.63
257821,35.43
514945,40.09
417805,36.07
342886,36.07
680488,36.07
81071,49.35
582073,30.66
825820,35.43
905736,36.07
331753,36.18
328763,37.73
936344,16.57
131852,30.66
297844,87389.08
904445,36.07
914105,16.21
431069,57129.65
227899,16.57
935095,36.07
806892,45.5
29160,45.5
617925,37.28
216067,23.45
280735,24.53
793924,36.07
37684,40.09
60038,36.07
946143,37.28
665127,41.65
738059,44.57
282794,13.5
872428,30.66
28875,30.66
111644,36.18
262978,48.55
988351,36.07
863069,106283.76
447007,36.07
249039,87389.08
686570,36.07
499083,37.5
545108,36.07
573553,30.66
655961,53.4
282753,37.28
110570,46.88
574533,37.45
709967,36.07
664359,36.07
189966,45.42
447564,23.45
738235,32.46
853493,30.66
993020,36.07
288879,44.62
455446,31.33
215101,43.17
946532,35.43
994080,36.07
742516,65126.71
59714,23.45
722421,87389.08
950150,36.07
709753,77310.77
394011,35.43
629765,46.88
103991,87389.08
716466,37.28
769192,36.07
98452,36.07
183366,16.57
994564,16.21
918751,24.53
223452,28.85
489964,13.5
671042,36.07
2763,40.09
405051,36.07
735776,36.07
196006,36.07
863314,36.07
377019,25.25
137334,37.28
442365,28.85
707692,36.2
148870,49.46
101773,87389.08
363500,31.93
189528,138585.78
699166,27.05
7841,30.66
317274,87389.08
582623,27.05
813054,27.05
740487,30.66
762974,36.07
256729,30.66
663299,36.07
935660,23.45
690403,25.25
390859,36.07
351736,36.07
284268,23.45
79552,36.07
319524,25.25
983929,49.42
127503,28.85
51804,92814.3
344885,27.05
247094,25.25
755434,28.85
256656,36.07
583147,36.07
639460,36.58
489922,46.48
331140,28.85
856796,35.34
566754,35.43
629403,37.5
365023,25.25
158825,36.07
795338,30.66
182691,37.84
579635,36.07
596379,36.07
849597,27040
438032,19.93
870017,13.5
906118,31.93
5037,44.04
938530,36.07
392012,41.27
878321,46.88
727613,46.88
199576,39.62
36144,36.07
932980,33.46
477722,46.88
455502,36.07
506493,42.34
840459,35.43
149667,36.07
86992,35.36
711577,30.66
936727,37.28
361094,35.43
445578,36.07
637346,37.73
208990,36.07
877279,36.07
825817,25.25
531808,27.05
845672,36.18
933917,35.43
