stop_id,routes,cross_street,on_street,dept_name
159,7,LAVERGNE,HARRISON,Bus Operations
160,7,CICERO,HARRISON,Bus Operations
161,7,KILPATRICK,HARRISON,Bus Operations
162,7,4630 WEST,HARRISON,Bus Operations
163,7,KOLMAR (east leg),HARRISON,Bus Operations
164,7,KILBOURN (west leg),HARRISON,Bus Operations
165,7,KOSTNER,HARRISON,Bus Operations
166,7,LEXINGTON,KOSTNER,Bus Operations
167,7,KOSTNER,FIFTH AVENUE,Bus Operations
168,7,KILDARE,FIFTH AVENUE,Bus Operations
169,7,KEELER,FIFTH AVENUE,Bus Operations
170,7,KARLOV,FIFTH AVENUE,Bus Operations
171,7,PULASKI,FIFTH AVENUE,Bus Operations
172,7,SPRINGFIELD,HARRISON,Bus Operations
174,7,INDEPENDENCE,HARRISON,Bus Operations
175,7,LAWNDALE,HARRISON,Bus Operations
177,7,ST. LOUIS,HARRISON,Bus Operations
178,7,HOMAN,HARRISON,Bus Operations
179,7,SPAULDING,HARRISON,Bus Operations
181,7,ALBANY,HARRISON,Bus Operations
182,7,SACRAMENTO,HARRISON,Bus Operations
183,7,FRANCISCO,HARRISON,Bus Operations
185,7,WASHTENAW,HARRISON,Bus Operations
186,7,MAPLEWOOD (east leg),HARRISON,Bus Operations
187,7,CAMPBELL,HARRISON,Bus Operations
188,7,WESTERN,HARRISON,Bus Operations
189,7,OAKLEY,HARRISON,Bus Operations
190,7,LEAVITT,HARRISON,Bus Operations
191,7,HOYNE,HARRISON,Bus Operations
192,7,DAMEN,HARRISON,Bus Operations
193,7,ASHLAND,HARRISON,Bus Operations
194,7,LAFLIN,HARRISON,Bus Operations
195,7,LOOMIS,HARRISON,Bus Operations
196,7,1335  WEST,HARRISON,Bus Operations
197,7,1231 WEST,HARRISON,Bus Operations
198,7& 755,RACINE,HARRISON,Bus Operations
199,7&60,1100 WEST,HARRISON,Bus Operations
200,7&60,MORGAN,HARRISON,Bus Operations
201,7&60,900 WEST,HARRISON,Bus Operations
